,Continent_Name,ConfirmedCases_100K,Average14_100K,ConfirmedDeaths_100K,Tests_total_100K,total_vaccination_100K,people_vaccinated_100K,StringencyIndexForDisplay,EconomicSupportIndexForDisplay,CountryName
2666,Europe,4745.547200264251,21.981111342831017,105.3295860702673,43179.82785057518,12067.53918860519,9061.619696042073,64.94250000000002,58.4375,
3168,World,1652.1028916648622,6.015983327442662,35.86505101152635,15666.256517530339,5664.184703269059,3294.1974714731764,55.871146496815335,42.30769230769231,
47084,Europe,7486.963748239945,17.55954559556053,124.29831020322631,81925.1813162129,14401.272550598454,9916.845004600185,63.89,62.5,Lithuania
