,Date,Continent_Name,ConfirmedCases,ConfirmedDeaths,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,GovernmentResponseIndexForDisplay,StringencyIndexForDisplay,ConfirmedCases_100K,ConfirmedDeaths_100K,Average14_100K,CumulativeVaccine,PeopleVaccinated,CumulativeVaccine_100K,PeopleVaccinated_100K,CumulativeTests,CumulativeTests_100K
40,2020-01-07,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
41,2020-01-07,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,189.0,0.04425573828859168
42,2020-01-08,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
43,2020-01-08,Asia,0.0,0.0,1.536734693877551,0.0,1.3446938775510204,1.6440816326530612,0.0,0.0,,,,,,10.0,0.00021336611324156095
44,2020-01-08,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
45,2020-01-08,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,831.0,0.1419744682820393
46,2020-01-08,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
47,2020-01-08,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,0.0,0.0
48,2020-01-09,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
49,2020-01-09,Asia,0.0,0.0,1.536734693877551,0.0,1.3446938775510204,1.6440816326530612,0.0,0.0,,,,,,23.0,0.0004907420604555903
50,2020-01-09,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
51,2020-01-09,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1021.0,0.17443553804568246
52,2020-01-09,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
53,2020-01-09,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,0.0,0.0
54,2020-01-10,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
55,2020-01-10,Asia,0.0,0.0,1.5732653061224489,0.0,1.376530612244898,1.6440816326530612,0.0,0.0,,,,,,41.0,0.0008748010642904
56,2020-01-10,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
57,2020-01-10,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1169.0,0.1997210029142045
58,2020-01-10,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
59,2020-01-10,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,257.0,0.060178437778667
60,2020-01-11,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
61,2020-01-11,Asia,0.0,0.0,1.5732653061224489,0.0,1.376530612244898,1.6440816326530612,0.0,0.0,,,,,,44.0,0.0009388108982628683
62,2020-01-11,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
63,2020-01-11,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1214.0,0.20740915101611998
64,2020-01-11,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
65,2020-01-11,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,0.0,0.0
66,2020-01-12,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
67,2020-01-12,Asia,0.0,0.0,1.6218367346938776,0.0,1.418979591836735,1.6440816326530612,0.0,0.0,,,,,,50.0,0.0010668305662078048
